,price,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,lat,long,region
90859,2000.0,735.0,1.0,1.0,1,1,0,1,0,0,w/d in unit,attached garage,41.8722,-87.6307,4.0
90862,2538.0,800.0,1.0,1.0,1,1,0,1,0,0,w/d in unit,attached garage,41.9085,-87.6485,1.0
90863,2025.0,715.0,1.0,1.0,1,1,0,1,0,0,w/d in unit,attached garage,41.9085,-87.6485,1.0
90864,1200.0,1350.0,3.0,2.0,0,0,1,0,0,0,w/d hookups,off-street parking,41.8588,-87.7104,2.0
90866,1025.0,995.0,1.0,1.0,1,1,1,0,0,0,unknown,off-street parking,41.9267,-87.7064,3.0
90867,1650.0,1200.0,2.0,1.0,1,1,1,0,0,0,laundry in bldg,street parking,41.9019,-87.6779,9.0
90879,1300.0,563.0,0.0,1.0,1,1,0,1,0,0,laundry in bldg,unknown,41.8943,-87.617,1.0
90884,1500.0,1500.0,2.0,1.0,0,0,1,0,0,0,w/d in unit,street parking,41.8955,-87.6614,9.0
90896,1260.0,500.0,1.0,1.0,1,1,1,0,0,0,w/d in unit,attached garage,41.9806,-87.6576,6.0
90899,1550.0,700.0,1.0,1.0,1,0,0,0,0,0,w/d in unit,street parking,41.913,-87.6753,9.0
90901,2000.0,1000.0,2.0,1.0,1,1,1,0,0,0,laundry on site,street parking,41.9068,-87.6349,1.0
90902,2165.0,800.0,1.0,1.0,1,1,0,0,0,0,w/d in unit,no parking,41.9034,-87.6676,9.0
90906,1600.0,1200.0,2.0,1.0,0,0,1,0,1,0,laundry in bldg,off-street parking,41.9192,-87.7121,3.0
90911,1725.0,1200.0,2.0,2.0,1,1,0,0,0,0,w/d in unit,detached garage,42.0079,-87.6709,6.0
90920,1600.0,1000.0,3.0,1.0,0,0,0,0,0,0,w/d in unit,off-street parking,41.9201,-87.6929,3.0
90923,1600.0,1000.0,2.0,1.0,0,1,1,0,0,0,w/d in unit,off-street parking,41.9058,-87.6971,3.0
90929,1450.0,900.0,2.0,1.0,0,0,1,0,0,0,laundry in bldg,street parking,41.9535,-87.7327,8.0
90930,875.0,900.0,1.0,1.0,0,0,1,0,0,0,no laundry on site,street parking,41.7281,-87.6069,11.0
90932,3000.0,2500.0,3.0,2.5,0,1,1,0,0,0,w/d in unit,unknown,41.8943,-87.6657,9.0
90935,1800.0,1500.0,3.0,1.5,0,0,1,0,0,0,w/d in unit,off-street parking,41.9102,-87.697,3.0
90936,1650.0,1250.0,0.0,1.0,1,1,1,0,0,0,unknown,unknown,41.8956,-87.70299999999997,3.0
