,0,1,2,3
76,41.9656,-87.6614,2400.0,0.0
77,41.9019,-87.6773,1575.0,9.0
78,41.9181,-87.6523,1650.0,5.0
79,41.9858,-87.6556,1125.0,6.0
80,41.9399,-87.6528,1545.0,5.0
81,41.799,-87.6038,1600.0,7.0
82,41.8011,-87.6057,2000.0,7.0
83,41.8772,-87.725,900.0,3.0
84,41.9568,-87.6765,995.0,0.0
85,41.9017,-87.6673,1450.0,9.0
86,41.9258,-87.6363,2725.0,5.0
87,41.9617,-87.6762,950.0,0.0
88,41.9258,-87.6363,1870.0,5.0
89,41.9453,-87.7474,1300.0,8.0
90,41.9258,-87.6363,1900.0,5.0
91,41.9256,-87.6367,1610.0,5.0
92,41.9398,-87.7382,1600.0,8.0
93,41.8818,-87.6502,2400.0,4.0
94,41.9726,-87.6789,1050.0,0.0
95,41.9588,-87.6791,1750.0,0.0
96,41.9782,-87.6809,1350.0,0.0
97,41.9229,-87.6483,1075.0,5.0
98,41.7618,-87.5587,1500.0,11.0
99,41.9229,-87.6483,1425.0,5.0
100,41.9104,-87.6837,1800.0,9.0
101,41.9857,-87.6688,1500.0,6.0
102,41.9543,-87.6575,1500.0,5.0
103,41.9399,-87.6528,1500.0,5.0
104,41.938,-87.6433,1000.0,5.0
105,41.9033,-87.6336,2150.0,1.0
106,41.8097,-87.6533,1050.0,7.0
107,41.8269,-87.6412,1250.0,7.0
108,41.9412,-87.6447,1115.0,5.0
109,41.9543,-87.6575,1500.0,5.0
110,41.913,-87.6753,1550.0,9.0
111,41.9309,-87.7245,2200.0,3.0
112,41.9408,-87.6567,1250.0,5.0
113,41.9178,-87.7314,1200.0,3.0
114,41.8915,-87.6148,2380.0,1.0
115,41.9468,-87.6867,2000.0,0.0
116,41.91,-87.6316,1300.0,1.0
117,41.8713,-87.6277,2500.0,4.0
118,41.9509,-87.6849,2500.0,0.0
119,41.8967,-87.6909,1500.0,9.0
120,41.9158,-87.7104,1995.0,3.0
121,41.9625,-87.6599,1950.0,0.0
122,41.7305,-87.6518,650.0,11.0
123,41.8724,-87.6642,1500.0,4.0
124,41.8303,-87.6831,995.0,2.0
125,41.9229,-87.6483,1400.0,5.0
126,41.8967,-87.6796,2100.0,9.0
127,41.9852,-87.6733,1495.0,6.0
128,41.9148,-87.6358,1400.0,1.0
129,41.9123,-87.7058,995.0,3.0
130,41.8771,-87.7255,875.0,3.0
131,41.9031,-87.6301,1470.0,1.0
132,41.8771,-87.7255,875.0,3.0
133,41.8272,-87.6367,1450.0,7.0
134,41.8984,-87.6204,1757.0,1.0
135,41.8984,-87.6243,1735.0,1.0
136,41.8984,-87.6243,1505.0,1.0
137,41.9523,-87.6873,1250.0,0.0
138,41.9523,-87.6873,1800.0,0.0
139,41.9648,-87.7054,1470.0,0.0
140,41.8303,-87.6831,995.0,2.0
141,41.8948,-87.6397,2900.0,1.0
142,41.9414,-87.6738,1900.0,5.0
143,41.9384,-87.6464,2100.0,5.0
144,42.0151,-87.6825,1200.0,6.0
145,41.9282,-87.7094,1095.0,3.0
146,41.8489,-87.6357,1490.0,4.0
147,41.9504,-87.6886,1325.0,0.0
148,41.784,-87.7363,1025.0,2.0
149,41.953,-87.6493,2567.0,5.0
150,41.9317,-87.72200000000002,999.0,3.0
151,41.9528,-87.6657,2010.0,5.0
152,41.8668,-87.6241,2205.0,4.0
153,41.9332,-87.6783,2100.0,5.0
154,41.8265,-87.6449,1200.0,7.0
155,41.8515,-87.6694,1050.0,4.0
156,41.8657,-87.6242,2780.0,4.0
157,41.8942,-87.6179,1967.0,1.0
